Header,Price,Price Per Square Meter,Surface,Rooms,Address,Latitude,Longitude,URL,Extraction Date,Floor,Rent,Additional Information,Seller Type,Free From,Type of Property,Form of Property,Status,Heating Type,Accessibility Score,Flag_hasSchoolNearby,Flag_hasParkNearby,Flag_hasPublicTransportNearby,Flag_hasSupermarketNearby,Flag_hasHospitalNearby,Flag_hasRestaurantNearby,Flag_hasGymNearby,Flag_hasShoppingMallNearby,Distance_schoolDistance,Distance_parkDistance,Distance_publicTransportDistance,Distance_supermarketDistance,Distance_hospitalDistance,Distance_restaurantDistance,Distance_gymDistance,Distance_shoppingMallDistance
"M2 Leonida 5 min - 2 camere complet decomandat, curte si parcare cota",85000.0,1809.0,47.0,2,"Popesti Leordeni, Ilfov",44.379906,26.169062,https://www.storia.ro/ro/oferta/m2-leonida-5-min-2-camere-complet-decomandat-curte-si-parcare-cota-IDD8kB,2025-03-18T08:39:36.555444,parter/3,0.0,bucătărie separată,agenție,fara informatii,locuință nouă,drept de proprietate,gata de utilizare,centrală pe gaz,93,true,true,true,true,true,true,true,true,72.21012384568826,770.3683569662506,28.988662955077444,31.777901537080705,1511.7237436118046,0.11611102460595381,298.018654066583,854.6459520761614
Apartament 3 camere Bl Nou,211000.0,2482.0,85.0,3,"Vitan, Sectorul 3, Bucuresti",44.410507,26.129059,https://www.storia.ro/ro/oferta/apartament-3-camere-bl-nou-IDD8kA,2025-03-18T08:39:45.879574,3,0.0,balcon,agenție,fara informatii,locuință nouă,fara informatii,fara informatii,fara informatii,86,true,true,true,true,true,true,true,true,373.19464658793044,330.5364612617333,206.13405067369035,455.50419009039535,602.8846097191824,466.30855909326135,475.87912163263496,242.20466411501027
Garsoniera Metalurgiei mutare rapida,54600.0,1400.0,39.0,1,"IMGB, Sectorul 4, Bucuresti",44.367035,26.139484,https://www.storia.ro/ro/oferta/garsoniera-metalurgiei-mutare-rapida-IDD8kz,2025-03-18T08:39:54.447998,7,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,fara informatii,centralizată,88,true,true,true,true,true,true,true,true,248.24800856672994,318.35876414072504,342.92853612606706,442.63855882280404,381.59318636914577,353.8574898529643,446.07555751210344,781.3494667722496
2 Camere | 61.4 mp | Incalzire Pardoseala | Acces Securizat | Brancove,99468.0,1620.0,61.4,2,"Progresul, Sectorul 4, Bucuresti",44.372643,26.097775,https://www.storia.ro/ro/oferta/2-camere-61-4-mp-incalzire-pardoseala-acces-securizat-brancove-IDD8kx,2025-03-18T08:40:03.141194,1,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,fara informatii,centralizată,83,false,true,true,false,true,true,true,true,1035.5198162899023,723.1812102205597,205.5122187542184,866.0647412492884,683.6387715022473,334.2823979496289,652.1988077685636,425.89803831560124
Garsoniera Zona Excelenta Aparatorii Patriei,57500.0,1474.0,39.0,1,"IMGB, Sectorul 4, Bucuresti",44.367035,26.139484,https://www.storia.ro/ro/oferta/garsoniera-zona-excelenta-aparatorii-patriei-IDD8kv,2025-03-18T08:40:11.685262,3,0.0,balcon,agenție,fara informatii,locuință nouă,fara informatii,fara informatii,fara informatii,88,true,true,true,true,true,true,true,true,248.24800856672994,318.35876414072504,342.92853612606706,442.63855882280404,381.59318636914577,353.8574898529643,446.07555751210344,781.3494667722496
Apartament 2 camere Metalurgiei stradal,71890.0,1179.0,61.0,2,"IMGB, Sectorul 4, Bucuresti",44.367035,26.139484,https://www.storia.ro/ro/oferta/apartament-2-camere-metalurgiei-stradal-IDD8kw,2025-03-18T08:40:18.911743,7,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,fara informatii,centralizată,88,true,true,true,true,true,true,true,true,248.24800856672994,318.35876414072504,342.92853612606706,442.63855882280404,381.59318636914577,353.8574898529643,446.07555751210344,781.3494667722496
Apartament 3 camere LUX,250000.0,1724.0,145.0,3,"Progresul, Sectorul 4, Bucuresti",44.372643,26.097775,https://www.storia.ro/ro/oferta/apartament-3-camere-lux-IDD8ku,2025-03-18T08:40:26.955086,parter,0.0,"terasă
grădină",agenție,fara informatii,locuință utilizată,fara informatii,fara informatii,centralizată,83,false,true,true,false,true,true,true,true,1035.5198162899023,723.1812102205597,205.5122187542184,866.0647412492884,683.6387715022473,334.2823979496289,652.1988077685636,425.89803831560124
Apartament de vanzare 3 camere Titulescu Victoriei,179000.0,2632.0,68.0,3,"Soseaua Nicolae Titulescu, Gara de Nord, Sectorul 1, Bucuresti",44.45205,26.077003,https://www.storia.ro/ro/oferta/apartament-de-vanzare-3-camere-titulescu-victoriei-IDCio6,2025-03-18T08:40:34.053952,8,0.0,balcon,agenție,fara informatii,locuință utilizată,fara informatii,fara informatii,fara informatii,89,true,true,true,true,true,true,true,true,188.53018747100566,262.3166448008217,230.86545434199917,288.31849387170973,123.72653433810316,672.1124398605375,515.977795304937,315.34678837598614
Apartament 3 camere renovat zona Colentina/Doamna Ghica,125000.0,1786.0,70.0,3,"Colentina, Sectorul 2, Bucuresti",44.465767,26.148647,https://www.storia.ro/ro/oferta/apartament-3-camere-renovat-zona-colentina-doamna-ghica-IDD8kt,2025-03-18T08:40:42.591562,1/10,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință utilizată,drept de proprietate,gata de utilizare,centralizată,89,true,true,false,true,true,true,true,true,496.96124197224975,107.19949145999811,500.35147508698617,65.44387217463408,379.4994212053312,63.25418542306642,373.7072810069141,510.4242652700871
"Apartament de 3 Camere în Zona Electroprecizia, Săcele",76000.0,1169.0,65.0,3,"Sacele, Brasov",45.51891,25.80189,https://www.storia.ro/ro/oferta/apartament-de-3-camere-n-zona-electroprecizia-scele-IDD8ks,2025-03-18T08:40:50.638270,2/4,0.0,"balcon
beci
debara",agenție,fara informatii,locuință utilizată,fara informatii,gata de utilizare,centrală pe gaz,0,false,false,false,false,false,false,false,false,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
"Apartament de vanzare 3 camere, Hils Pallady, Metrou Anghel Saligny",174000.0,2384.0,73.0,3,"Bulevardul Theodor Pallady, Theodor Pallady, Sectorul 3, Bucuresti",44.41254,26.164522,https://www.storia.ro/ro/oferta/apartament-de-vanzare-3-camere-hils-pallady-metrou-anghel-saligny-IDzDx0,2025-03-18T08:40:58.256112,> 10/11,0.0,"balcon
terasă
garaj",agenție,fara informatii,locuință utilizată,fara informatii,gata de utilizare,centrală pe gaz,94,true,true,true,true,true,true,true,true,265.2418623381193,304.0576606158625,116.67607038700787,58.808674268514864,128.31285263719522,39.28046063678707,445.158275719834,240.90069244423637
APARTAMENT LA MARE DEOSEBIT MOBILAT UTILAT,99000.0,2538.0,39.0,2,"Navodari, Constanta",44.323547,28.611786,https://www.storia.ro/ro/oferta/apartament-la-mare-deosebit-mobilat-utilat-IDD8kq,2025-03-18T08:41:07.303766,1,0.0,terasă,agenție,fara informatii,locuință utilizată,fara informatii,fara informatii,fara informatii,93,true,true,true,true,true,true,true,true,127.34626240466557,208.0189949910406,292.11983197923047,133.9512044686232,370.0697045047732,86.26897459808794,297.11169667523006,161.08480510257075
3 camere Gara Carrefour Market 52 mp et.1 liber Cod:156508,100000.0,1923.0,52.0,3,"Strada Garii, Gara, Iasi, Iasi",47.16554,27.569868,https://www.storia.ro/ro/oferta/3-camere-gara-carrefour-market-52-mp-et-1-liber-cod156508-IDD8kn,2025-03-18T08:41:15.613442,fara informatii,0.0,,agenție,fara informatii,locuință nouă,fara informatii,fara informatii,fara informatii,92,true,true,true,true,true,true,true,true,387.8923801401499,427.41241427840635,97.64077230294156,144.81793948070074,145.5893995967145,434.3120617269738,455.7839275042869,77.1949738925138
Apartament 4 camere PREMIUM - FINALIZAT - PREDARE IMEDIATA,184700.0,1597.0,115.68,4,"Theodor Pallady, Sectorul 3, Bucuresti",44.408157,26.191114,https://www.storia.ro/ro/oferta/apartament-4-camere-premium-finalizat-predare-imediata-IDD8kl,2025-03-18T08:41:24.734986,3,0.0,"balcon
garaj
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,fara informatii,centralizată,85,true,true,true,true,true,false,true,true,585.684551981442,715.412002395661,61.328607702028705,473.14053038441114,234.5586736387145,1164.9147572037034,607.0951050135691,463.3665169288513
Apartament 2 camere de vanzare Manastur,132500.0,3313.0,40.0,2,"Manastur, Cluj-Napoca, Cluj",46.75269,23.556114,https://www.storia.ro/ro/oferta/apartament-2-camere-de-vanzare-manastur-IDCKkG,2025-03-18T08:41:32.674799,6/10,0.0,balcon,agenție,fara informatii,locuință nouă,fara informatii,gata de utilizare,centralizată,94,true,true,true,true,true,true,true,true,106.97234911538757,353.23638883987405,193.25239478581852,143.2021750267346,270.01978632317287,384.70927923551494,369.05671211303553,322.89772341615213
Apartament 3 Camere – BECALI IMOBILIARE – Mutare Imediata! - PIPERA,162950.0,1785.0,91.3,3,"Voluntari, Ilfov",44.49327,26.172915,https://www.storia.ro/ro/oferta/apartament-3-camere-becali-imobiliare-mutare-imediata-pipera-IDAkUh,2025-03-18T08:41:41.226700,3/5,0.0,balcon,agenție,fara informatii,locuință nouă,drept de proprietate,gata de utilizare,altul,92,true,true,true,true,true,true,true,true,23.42367256557286,516.1940401086038,45.92329731226711,483.84800788566173,581.3898378797525,225.32732535672798,682.317013893511,601.7906107886706
Apartament premium – BECALI IMOBILIARE – pe malul Lacului Pipera,79990.0,1818.0,44.0,2,"Voluntari, Ilfov",44.49327,26.172915,https://www.storia.ro/ro/oferta/apartament-premium-becali-imobiliare-pe-malul-lacului-pipera-IDA6NF,2025-03-18T08:41:49.567538,3/5,0.0,"balcon
garaj",agenție,fara informatii,locuință nouă,drept de proprietate,în construcție,altul,92,true,true,true,true,true,true,true,true,23.42367256557286,516.1940401086038,45.92329731226711,483.84800788566173,581.3898378797525,225.32732535672798,682.317013893511,601.7906107886706
Parcare subterana GRATUITA - Apartament 3 Camere – BECALI IMOBILIARE,154900.0,1851.0,83.7,3,"Voluntari, Ilfov",44.49327,26.172915,https://www.storia.ro/ro/oferta/parcare-subterana-gratuita-apartament-3-camere-becali-imobiliare-IDAkUV,2025-03-18T08:41:57.116064,1/5,0.0,balcon,agenție,fara informatii,locuință nouă,drept de proprietate,gata de utilizare,altul,92,true,true,true,true,true,true,true,true,23.42367256557286,516.1940401086038,45.92329731226711,483.84800788566173,581.3898378797525,225.32732535672798,682.317013893511,601.7906107886706
Apartament 2 Camere - BECALI IMOBILIARE - OFERTA Lunii - Parc Propriu,109000.0,2084.0,52.3,2,"Voluntari, Ilfov",44.49327,26.172915,https://www.storia.ro/ro/oferta/apartament-2-camere-becali-imobiliare-oferta-lunii-parc-propriu-IDA5bf,2025-03-18T08:42:06.270978,parter/5,0.0,"balcon
garaj",agenție,fara informatii,locuință nouă,drept de proprietate,în construcție,altul,92,true,true,true,true,true,true,true,true,23.42367256557286,516.1940401086038,45.92329731226711,483.84800788566173,581.3898378797525,225.32732535672798,682.317013893511,601.7906107886706
"Apartament 2 camere, decomandat, metrou Berceni-Dimitrie Leonida",78470.0,1246.0,63.0,2,"Aparatorii Patriei, Sectorul 4, Bucuresti",44.37349,26.139492,https://www.storia.ro/ro/oferta/apartament-2-camere-decomandat-metrou-berceni-dimitrie-leonida-IDCnuA,2025-03-18T08:42:14.440776,1/4,0.0,"balcon
bucătărie separată",agenție,fara informatii,locuință nouă,fara informatii,în construcție,centrală pe gaz,91,true,true,true,true,true,true,true,true,433.58737663842913,403.0265787146324,206.0679786445379,314.52075091717137,322.10954541629474,314.52075091717137,323.91866024183605,742.7220983607355
