Description,Address,Rent,Additional infomation,Seller type,Free from,Property type,URL,Surface,Rooms,Property form,Price,Status,Heating type,Floor
Apartament de vânzare,"Strada Garii, Centru, Bacau, Bacau",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,70m²,3 camere,fara informatii,64 500 €,gata de utilizare,centrală pe gaz,fara informatii
Apartament de vânzare,"Chinteni, Chinteni, Cluj",fara informatii,balcon,agenție,2024-12-02,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,45m²,2 camere,drept de proprietate,85 000 €,necesita renovare,centrală pe gaz,2/4
Apartament de vânzare,"Strada Rezervelor, Rosu, Chiajna, Ilfov",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1,71m²,3 camere,fara informatii,76 900 €,gata de utilizare,centralizată,5/6
Apartament de vânzare,"Centrul Civic, Sectorul 4, Bucuresti",fara informatii,balcon,agenție,2024-11-18,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,57.3m²,3 camere,drept de proprietate,125 000 €,gata de utilizare,centralizată,1/8
Apartament de vânzare,"Orasul Nou, Oradea, Bihor",fara informatii,"balcon
garaj",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,53m²,2 camere,fara informatii,119 500 €,fara informatii,fara informatii,parter
Apartament de vânzare,"Slatina, Olt",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,81m²,3 camere,fara informatii,126 000 €,în construcție,centralizată,fara informatii
Apartament de vânzare,"Centru, Targu Mures, Mures",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,70m²,4 camere,fara informatii,150 000 €,fara informatii,fara informatii,6
Apartament de vânzare,"Centrul Civic, Sectorul 4, Bucuresti",fara informatii,balcon,agenție,2024-11-18,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-3-camere-decomandat-etaj-1-dimitrie-cantemir-IDBTDR,57.3m²,3 camere,drept de proprietate,125 000 €,gata de utilizare,centralizată,1/8
Apartament de vânzare,"Strada Tautiului, Floresti, Floresti, Cluj",fara informatii,balcon,privat,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,143m²,5 camere,drept de proprietate,273 000 €,gata de utilizare,centrală pe gaz,2/2
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,balcon,agenție,2024-11-11,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,76m²,3 camere,drept de proprietate,140 000 €,gata de utilizare,centrală pe gaz,1/2
Apartament de vânzare,"Pantelimon, Sectorul 2, Bucuresti",fara informatii,balcon,agenție,2024-11-12,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,68.33m²,3 camere,drept de proprietate,125 000 €,gata de utilizare,centralizată,2/10
Apartament de vânzare,"Craiovei, Pitesti, Arges",fara informatii,"balcon
bucătărie separată",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,61m²,2 camere,fara informatii,71 500 €,gata de utilizare,centrală pe gaz,5/7
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,"terasă
garaj",agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,55m²,3 camere,fara informatii,119 900 €,fara informatii,centralizată,4
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,balcon,agenție,2024-11-11,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-3-camere-76-mp-2-bai-zona-avram-iancu-IDBtyI,76m²,3 camere,drept de proprietate,140 000 €,gata de utilizare,centrală pe gaz,1/2
Apartament de vânzare,"Ozana, Sectorul 3, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,55m²,2 camere,drept de proprietate,75 000 €,gata de utilizare,fara informatii,2/8
Apartament de vânzare,"Miroslava, Iasi",300 €,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,57m²,2 camere,drept de proprietate,68 400 €,gata de utilizare,centrală pe gaz,1/3
Apartament de vânzare,"Drumul Fermei, Popesti Leordeni, Ilfov",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,59.5m²,2 camere,fara informatii,91 651 €,fara informatii,fara informatii,3/6
Apartament de vânzare,"Manastur, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,2024-11-26,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,52.45m²,2 camere,drept de proprietate,165 000 €,gata de utilizare,centrală pe gaz,2/4
Apartament de vânzare,"Pantelimon, Sectorul 2, Bucuresti",fara informatii,balcon,agenție,2024-11-11,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,37m²,1 cameră,drept de proprietate,68 000 €,gata de utilizare,centrală pe gaz,5/10
Apartament de vânzare,"Floresti, Floresti, Cluj",fara informatii,"balcon
garaj
debara",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,53m²,2 camere,drept de proprietate,104 900 €,gata de utilizare,centrală pe gaz,2/2
Apartament de vânzare,"Santandrei, Santandrei, Bihor",fara informatii,balcon,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,41m²,1 cameră,fara informatii,62 400 €,fara informatii,fara informatii,3
Apartament de vânzare,"Centru, Ploiesti, Prahova",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,51m²,2 camere,fara informatii,43 000 €,fara informatii,fara informatii,4
Apartament de vânzare,"Baciu, Cluj",fara informatii,balcon,agenție,2024-11-30,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,44m²,2 camere,drept de proprietate,95 000 €,gata de utilizare,centrală pe gaz,2/5
Apartament de vânzare,"Unirii, Targu Mures, Mures",fara informatii,fara informatii,agenție,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,70m²,3 camere,fara informatii,113 000 €,gata de utilizare,centralizată,parter/4
Apartament de vânzare,"Tiglina 1, Galati, Galati",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,60m²,2 camere,fara informatii,360 000 RON,fara informatii,fara informatii,1
Apartament de vânzare,"IMGB, Sectorul 4, Bucuresti",fara informatii,balcon,dezvoltator,fara informatii,locuință nouă,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,149.1m²,4 camere,fara informatii,149 000 €,în construcție,centralizată,1/8
Apartament de vânzare,"Strada Cerbului, Bistrita, Bistrita-Nasaud",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,35m²,2 camere,fara informatii,57 800 €,fara informatii,fara informatii,2
Apartament de vânzare,"Titan, Sectorul 3, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,93m²,4 camere,fara informatii,215 000 €,fara informatii,fara informatii,6
Apartament de vânzare,"Manastur, Cluj-Napoca, Cluj",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,51m²,2 camere,fara informatii,145 000 €,fara informatii,centralizată,5
Apartament de vânzare,"Strada Cerbului, Bistrita, Bistrita-Nasaud",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-2-camere-bloc-nou-libertii-pasarela-IDBtyo,35m²,2 camere,fara informatii,57 800 €,fara informatii,fara informatii,2
Apartament de vânzare,"Strada Tautiului, Floresti, Floresti, Cluj",fara informatii,balcon,privat,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,73m²,3 camere,drept de proprietate,139 000 €,gata de utilizare,centrală pe gaz,parter/2
Apartament de vânzare,"Calafat, Dolj",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,55m²,2 camere,fara informatii,35 000 €,fara informatii,fara informatii,3
Apartament de vânzare,"Decebal, Sectorul 3, Bucuresti",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=441,48.75m²,2 camere,fara informatii,116 000 €,fara informatii,fara informatii,5
Apartament de vânzare,"Vacaresti, Sectorul 4, Bucuresti",fara informatii,"balcon
beci",agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,85.3m²,3 camere,fara informatii,325 000 €,gata de utilizare,altul,6
Apartament de vânzare,"Prund-Schei, Brasov, Brasov",fara informatii,"terasă
grădină
garaj",agenție,2024-11-30,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1321,325m²,4 camere,drept de proprietate,525 000 €,gata de utilizare,centrală pe gaz,3/3
Apartament de vânzare,"IMGB, Sectorul 4, Bucuresti",fara informatii,balcon,dezvoltator,fara informatii,locuință nouă,https://www.storia.ro/ro/oferta/apartament-4-camere-tva-inclus-avans-minim-15-berceni-sector-4-IDBSvR,149.1m²,4 camere,fara informatii,149 000 €,în construcție,centralizată,1/8
Apartament de vânzare,"Ocna Mures, Alba",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=1761,63m²,2 camere,fara informatii,45 000 €,fara informatii,fara informatii,parter
Apartament de vânzare,"Strada Cerbului, Bistrita, Bistrita-Nasaud",fara informatii,balcon,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/oferta/apartament-2-camere-bloc-nou-libertii-pasarela-IDBtyo,35m²,2 camere,fara informatii,57 800 €,fara informatii,fara informatii,2
Apartament de vânzare,"Strada Vespasian, Gara de Nord, Sectorul 1, Bucuresti",fara informatii,fara informatii,agenție,fara informatii,locuință utilizată,https://www.storia.ro/ro/rezultate/vanzare/apartament/toata-romania?viewType=listing&page=881,51m²,2 camere,fara informatii,141 000 €,fara informatii,fara informatii,6/8
